#TYPE System.Management.Automation.PSCustomObject
"File","Action","ShortCutKey"
"AccountScheduleNames.Page","EditAccountSchedule","Return"
"ActiveOpportunityList.Page","Card","Shift+F7"
"ActiveOpportunityList.Page","Statistics","F7"
"ActiveOpportunityList.Page","""Interaction Log E&ntries""","Ctrl+F7"
"Allocations.Page","Dimensions","Alt+D"
"Allocations.Page","Card","Shift+F7"
"Allocations.Page","""Ledger E&ntries""","Ctrl+F7"
"AnalysisReportInventory.Page","EditAnalysisReport","Return"
"AnalysisReportPurchase.Page","EditAnalysisReport","Return"
"AnalysisReportSale.Page","EditAnalysisReport","Return"
"ApplicationWorksheet.Page","AppliedEntries","F9"
"ApplicationWorksheet.Page","UnappliedEntries","Ctrl+F9"
"ApplicationWorksheet.Page","Dimensions","Alt+D"
"ApplicationWorksheet.Page","""&Value Entries""","Ctrl+F7"
"AppliedCustomerEntries.Page","Dimensions","Alt+D"
"AppliedCustomerEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"AppliedEmployeeEntries.Page","Dimensions","Alt+D"
"AppliedEmployeeEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"AppliedItemEntries.Page","Dimensions","Alt+D"
"AppliedItemEntries.Page","""&Value Entries""","Ctrl+F7"
"AppliedVendorEntries.Page","Dimensions","Alt+D"
"AppliedVendorEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"ApplyCustomerEntries.Page","Dimensions","Alt+D"
"ApplyCustomerEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"ApplyCustomerEntries.Page","""Set Applies-to ID""","Shift+F11"
"ApplyCustomerEntries.Page","""Post Application""","F9"
"ApplyEmployeeEntries.Page","Dimensions","Alt+D"
"ApplyEmployeeEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"ApplyEmployeeEntries.Page","ActionSetAppliesToID","Shift+F11"
"ApplyEmployeeEntries.Page","ActionPostApplication","F9"
"ApplyGeneralLedgerEntries.Page","Dimensions","Shift+Ctrl+D"
"ApplyGeneralLedgerEntries.Page","SetAppliesToID","F7"
"ApplyGeneralLedgerEntries.Page","""Post Application""","F9"
"ApplyVendorEntries.Page","Dimensions","Alt+D"
"ApplyVendorEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"ApplyVendorEntries.Page","ActionSetAppliesToID","Shift+F11"
"ApplyVendorEntries.Page","ActionPostApplication","F9"
"AssembletoOrderLines.Page","Dimensions","Alt+D"
"AssembletoOrderLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AssemblyLines.Page","""Show Document""","Shift+F7"
"AssemblyLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AssemblyList.Page","""Show Document""","Shift+F7"
"AssemblyList.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"AssemblyOrder.Page","Dimensions","Alt+D"
"AssemblyOrder.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"AssemblyOrder.Page","Action14","F7"
"AssemblyOrder.Page","""Item Ledger Entries""","Ctrl+F7"
"AssemblyOrder.Page","""Re&lease""","Ctrl+F9"
"AssemblyOrder.Page","""P&ost""","F9"
"AssemblyOrders.Page","""Item Ledger Entries""","Ctrl+F7"
"AssemblyOrders.Page","""Show Order""","Shift+F7"
"AssemblyOrders.Page","Statistics","F7"
"AssemblyOrders.Page","Dimensions","Alt+D"
"AssemblyOrders.Page","Release","Ctrl+F9"
"AssemblyOrders.Page","""P&ost""","F9"
"AssemblyOrderSubform.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"AssemblyOrderSubform.Page","Dimensions","Alt+D"
"AssemblyQuote.Page","Statistics","F7"
"AssemblyQuote.Page","Dimensions","Alt+D"
"AssemblyQuotes.Page","""Item Ledger Entries""","Ctrl+F7"
"AssemblyQuotes.Page","""Show Order""","Shift+F7"
"AssemblyQuotes.Page","Statistics","F7"
"AssemblyQuotes.Page","Dimensions","Alt+D"
"AssemblyQuotes.Page","Release","Ctrl+F9"
"AssemblyQuotes.Page","""P&ost""","F9"
"AssemblyQuoteSubform.Page","Dimensions","Alt+D"
"AssemblyQuoteSubform.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"AttendeeScheduling.Page","Open","Return"
"AttendeeSubform.Page","Card","Shift+F7"
"AvailableAssemblyHeaders.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AvailableAssemblyLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AvailableItemLedgEntries.Page","Dimensions","Alt+D"
"AvailableJobPlanningLines.Page","ShowDocument","Shift+F7"
"AvailableLoaners.Page","Card","Shift+F7"
"AvailableLoaners.Page","""Loaner E&ntries""","Ctrl+F7"
"AvailableProdOrderComp.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AvailablePurchaseLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"AvailablePurchaseLines.Page","ShowDocument","Shift+F7"
"AvailableRequisitionLines.Page","Dimensions","Alt+D"
"AvailableSalesLines.Page","ShowDocument","Shift+F7"
"AvailableServiceLines.Page","ShowDocument","Shift+F7"
"AvailItemTrackingLines.Page","""&Show Document""","Shift+F7"
"AvailItemTrackingLines.Page","Action36","Shift+F7"
"AverageCostCalcOverview.Page","Dimensions","Alt+D"
"AverageCostCalcOverview.Page","""&Value Entries""","Ctrl+F7"
"BankAccLedgEntrPreview.Page","Dimensions","Alt+D"
"BankAccountCard.Page","Statistics","F7"
"BankAccountCard.Page","Dimensions","Alt+D"
"BankAccountCard.Page","""Ledger E&ntries""","Ctrl+F7"
"BankAccountLedgerEntries.Page","""Check Ledger E&ntries""","Shift+F7"
"BankAccountLedgerEntries.Page","Dimensions","Alt+D"
"BankAccountList.Page","Statistics","F7"
"BankAccountList.Page","""Dimensions-Single""","Alt+D"
"BankAccountList.Page","""Ledger E&ntries""","Ctrl+F7"
"BankAccountStatement.Page","""&Card""","Shift+F7"
"BankAccReconciliation.Page","""&Card""","Shift+F7"
"BankAccReconciliation.Page","Post","F9"
"BankAccReconciliation.Page","PostAndPrint","Shift+F9"
"BankAccReconciliationList.Page","Post","F9"
"BankAccReconciliationList.Page","PostAndPrint","Shift+F9"
"BCO365CustomerList.Page","Edit","Return"
"BCO365EstimateList.Page","Open","Return"
"BCO365IncDocAttchList.Page","View","Return"
"BCO365InvoiceList.Page","Open","Return"
"BCO365ItemList.Page","Edit","Return"
"BCO365PaymentInstrSettings.Page","Edit","Return"
"BCO365SalesInvoice.Page","Post","Ctrl+Right"
"BCO365SentDocumentsList.Page","Open","Return"
"BCO365VATPostingSetupList.Page","Open","Return"
"BinContentCreationWorksheet.Page","CreateBinContent","F9"
"BinCreationWkshNameList.Page","""Edit Worksheet""","Return"
"BinCreationWorksheet.Page","""&Create Bins""","F9"
"BlanketAssemblyOrder.Page","Statistics","F7"
"BlanketAssemblyOrder.Page","Dimensions","Alt+D"
"BlanketAssemblyOrders.Page","Statistics","F7"
"BlanketAssemblyOrders.Page","Dimensions","Alt+D"
"BlanketAssemblyOrderSubform.Page","Dimensions","Alt+D"
"BlanketPurchaseOrder.Page","Statistics","F7"
"BlanketPurchaseOrder.Page","Card","Shift+F7"
"BlanketPurchaseOrder.Page","Dimensions","Alt+D"
"BlanketPurchaseOrder.Page","Release","Ctrl+F9"
"BlanketPurchaseOrderArchive.Page","Card","Shift+F7"
"BlanketPurchaseOrders.Page","Statistics","F7"
"BlanketPurchaseOrders.Page","Dimensions","Alt+D"
"BlanketPurchaseOrders.Page","Release","Ctrl+F9"
"BlanketPurchaseOrderSubform.Page","Dimensions","Alt+D"
"BlanketPurchOrderArchSub.Page","Dimensions","Alt+D"
"BlanketSalesOrder.Page","Statistics","F7"
"BlanketSalesOrder.Page","Card","Shift+F7"
